Tue Oct 12 14:32:20 2010 (PID:23462) : |  ERROR | -> MSG: get_shared_memory_slave(): error allocating shared memory space (shmget): File exists
Sun Oct 24 16:35:27 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:35:27 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:35:27 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:35:27 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:35:27 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:35:27 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:45:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 16:54:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:04:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:04:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:04:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:04:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:14:32 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:20:28 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:30:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:40:29 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:49:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:49:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:49:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:49:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 17:59:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:09:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:29:33 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:29:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Sun Oct 24 18:29:34 2010 (PID:45837) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
